oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
766207400013324,138524276,2459139.7436289100,59139.242766200000,16.847179,0.0147099560,0,zr,292.45999580000000,46.372996100000000,1.44299996,0.1209999993,20201017242766,766,7,4,20.9899998,26.1351624,0.0171964075,0.0810145512,7.42862676E-06,30.0,1.52699995,1
766207400013324,138713410,2459141.6348994210,59141.134108800000,16.835487,0.0146561656,0,zr,292.46001530000000,46.372989400000000,0.35100001,-0.0020000001,20201019134097,766,7,4,20.8199997,25.9204731,0.0330986939,0.0775514618,2.73902824E-05,30.0,1.10000002,1
766207400013324,139110811,2459145.6087503806,59145.108113400000,16.841295,0.0146828126,0,zr,292.46000900000000,46.372996200000000,0.72899997,0.0390000008,20201023108113,766,7,4,21.3299999,26.3031101,0.0141677381,0.0802841932,4.98562713E-06,30.0,1.07500005,1
766207400013324,139509049,2459149.5909785563,59149.090497700000,16.852810,0.0147360656,0,zr,292.46000140000000,46.372994400000000,0.67199999,-0.0020000001,20201027090498,766,7,4,19.7999992,26.2866879,0.0170605034,0.0846526176,7.27517727E-06,30.0,1.06599998,1
766207400013324,139709791,2459151.5983182653,59151.097916700000,16.858135,0.0147608826,0,zr,292.45999950000000,46.373007400000000,0.73400003,-0.0040000002,20201029097917,766,7,4,20.4400005,26.3419933,0.0126513401,0.0833603144,3.92831726E-06,30.0,1.08500004,1
766207400013324,139909550,2459153.5958316950,59153.095509300000,16.845509,0.0147022316,0,zr,292.46000680000000,46.373009500000000,1.15100002,0.1000000015,20201031095498,766,7,4,20.7800007,26.3393326,0.0147595331,0.0787683725,5.44862360E-06,30.0,1.09000003,1
766207400013324,140109060,2459155.5908450456,59155.090601900000,16.879230,0.0148604047,0,zr,292.46001600000000,46.372985000000000,0.42500001,0.0320000015,20201102090602,766,7,4,20.8400002,26.2160950,0.0224565957,0.0842140317,1.30471399E-05,30.0,1.09099996,1
766207400013324,140310300,2459157.6031724120,59157.103009300000,16.856918,0.0147551997,0,zr,292.46002780000000,46.372974500000000,0.87300003,0.0560000017,20201104102222,766,7,4,21.2600002,26.3087139,0.0119950501,0.0814081803,3.52437860E-06,30.0,1.12699997,1
766207400013324,141011370,2459164.6135886637,59164.113703700000,16.895996,0.0149408877,0,zr,292.46000110000000,46.373001000000000,0.47200000,0.0170000009,20201111113681,766,7,4,20.7700005,26.3299999,0.0137378844,0.0811421201,4.76228934E-06,30.0,1.21300006,1
766207400013324,141311409,2459167.6138641676,59167.114097200000,16.859426,0.0147669194,0,zr,292.46000110000000,46.372998400000000,0.33800000,-0.0130000003,20201114114086,766,7,4,20.5100002,26.3363438,0.0126654422,0.0826714486,4.02280102E-06,30.0,1.24399996,1
766207400013324,141518268,2459169.6823713956,59169.182685200000,16.850506,0.0147253620,0,zr,292.46000200000000,46.372990600000000,1.23500001,0.0309999995,20201116182674,766,7,4,20.1499996,26.2916985,0.0166576449,0.0937865749,6.98061422E-06,30.0,1.71200001,1
766207400013324,141709355,2459171.5931654690,59171.093553200000,16.822216,0.0145958066,0,zr,292.46000980000000,46.372991700000000,0.50700003,0.0350000001,20201118093553,766,7,4,20.9799995,26.1820316,0.0235261973,0.0807995126,1.34534357E-05,30.0,1.20899999,1
766207400013324,141908921,2459173.5887486804,59173.089213000000,16.829714,0.0146298120,0,zr,292.46001940000000,46.373002200000000,0.55199999,0.0350000001,20201120089213,766,7,4,21.0400009,26.3365211,0.0123582697,0.0791903660,3.73891339E-06,30.0,1.21300006,1
766207400013324,142512532,2459179.6246332875,59179.125324100000,16.812332,0.0145513304,0,zr,292.46001940000000,46.372989300000000,0.43799999,0.0659999996,20201126125312,766,7,4,20.7500000,26.3012180,0.0130169634,0.0800008774,4.12794680E-06,30.0,1.46899998,1
