,RA,DEC,CL2,TYPE,,
359,107.3,-36,2,RadioGalaxy,,107.3|-36
360,107.6,59.1,7,BLLac,,107.6|59.1
361,108.5,35.3,5,Sy2,,108.5|35.3
362,108.6,45.7,4,Sy1.5,,108.6|45.7
363,108.7,-25.3,0,,,108.7|-25.3
364,109.5,-21.9,1,inplane,,109.5|-21.9
365,109.5,44.1,4,Sy1.5,,109.5|44.1
366,111,-8.1,1,SRC/X-RAY,,111|-8.1
367,111.5,-0.9,7,BlLac,,111.5|-0.9
368,111.4,30,8,Radiogalaxy,,111.4|30
369,111.6,-35.9,5,Sy2,,111.6|-35.9
370,111.6,37,8,"QSO,Sy1",,111.6|37
371,111.9,-24.1,5,Sy1.9,,111.9|-24.1
372,112.2,-26.1,13,HMXB/NS,,112.2|-26.1
373,112.9,9.9,9,CV/DQHer,,112.9|9.9
374,113.2,-13.5,9,CV/DQHer,,113.2|-13.5
375,113.3,45.9,8,Sy1QSO,,113.3|45.9
376,113.4,51.9,2,Galaxy,,113.4|51.9
377,114.2,58.8,4,Sy1.5,,114.2|58.8
378,114.9,-31.7,5,Sy2,,114.9|-31.7
379,115.3,-54.8,2,Galaxy,,115.3|-54.8
380,115.8,80.4,4,Sy1i/RADIOGALAXY,,115.8|80.4
381,115.6,49.8,4,Sy1.2,,115.6|49.8
382,115.7,65.2,5,Sy2,,115.7|65.2
383,115.8,-25.8,4,Sy1.2,,115.8|-25.8
384,116,29.2,5,"Sy2,noX-rayobs",,116|29.2
385,116.6,-16.2,0,SRC/X-RAY,,116.6|-16.2
386,116.6,25.8,7,Blazar,,116.6|25.8
387,116.9,-19.3,3,GalaxyCluster,,116.9|-19.3
388,116.9,60.9,4,Sy1.2,,116.9|60.9
389,116.9,-73.4,2,Galaxy,,116.9|-73.4
390,117.1,-67.8,14,LMXB/NS,,117.1|-67.8
391,117.4,-32.3,0,SRC/X-RAY,,117.4|-32.3
392,117.8,14.7,9,CV/DQHer,,117.8|14.7
393,118.1,19.6,8,"QSO,Sy1",,118.1|19.6
394,118.2,45.9,4,Sy1,,118.2|45.9
395,119.6,83.9,0,SRC/X-RAY,,119.6|83.9
396,119.1,-41.6,5,Sy2,,119.1|-41.6
397,119.9,-38.7,4,Sy1.2,,119.9|-38.7
398,120,23.4,5,Sy2,,120|23.4
399,120.1,26.6,4,Sy1,,120.1|26.6
400,120.2,-43.2,0,,,120.2|-43.2
401,120.5,-49.8,4,Sy1.5,,120.5|-49.8
402,120.9,8.7,6,Sy1,,120.9|8.7
403,121,5.1,5,Sy2,,121|5.1
404,121.2,10.8,4,Sy2Sy1Galaxypair,,121.2|10.8
405,121.2,-1.1,2,XBONG,,121.2|-1.1
406,121.3,61.7,8,QSO,,121.3|61.7
407,121.9,39,5,Sy2,,121.9|39
408,122.7,76,4,Sy1,,122.7|76
409,123.1,-40.1,0,SRC/X-RAY,,123.1|-40.1
410,123.6,4.3,4,Sy1,,123.6|4.3
411,124.5,2.8,4,Sy1,,124.5|2.8
412,124.6,1.4,5,Sy1.8,,124.6|1.4
413,124.7,-22.9,4,Sy1,,124.7|-22.9
414,125.1,-28.1,0,SRC/X-RAY,,125.1|-28.1
415,125.8,-4.9,5,Sy2,,125.8|-4.9
416,126.6,-70.5,9,CV,,126.6|-70.5
417,127.4,41.9,4,Sy1,,127.4|41.9
418,127.6,-67.4,5,Sy1.8,,127.6|-67.4
419,128.1,37.1,4,Sy1.2,,128.1|37.1
420,128.8,-45.2,10,Pulsar,,128.8|-45.2
421,129.6,48.6,9,CV/DQHer,,129.6|48.6
422,129.6,-36,4,Sy1.5,,129.6|-36
423,129.7,-48.5,9,CVdwarfnova,,129.7|-48.5
424,130,-12.2,8,QSO,,130|-12.2
425,130,29.8,5,Sy2,,130|29.8
426,130.2,-45.1,13,HMXB/SFXT,,130.2|-45.1
427,130.4,70.9,7,Blazar,,130.4|70.9
428,130.5,8,8,QSO,,130.5|8
429,130.9,35.8,5,Sy2,,130.9|35.8
430,131.3,-35.5,8,QSOSy1.2,,131.3|-35.5
431,131.3,14.3,5,Sy1.9,,131.3|14.3
432,133.6,-8.4,0,SRC/X-RAY,,133.6|-8.4
433,133.8,64.4,5,Sy2,,133.8|64.4
434,133.8,-28.9,2,Galaxy,,133.8|-28.9
435,133.9,78.2,5,Sy2,,133.9|78.2
436,134.9,44.9,2,Galaxy,,134.9|44.9
437,135.5,-40.6,13,HMXB/NS,,135.5|-40.6
438,135.5,60.2,5,Sy2,,135.5|60.2
439,135.7,-68.2,2,XBONG,,135.7|-68.2
440,135.7,-48.2,4,Sy1,,135.7|-48.2
441,135.9,-74.2,5,Sy2,,135.9|-74.2
442,136.2,55.6,4,Sy1,,136.2|55.6
443,137.2,-9.6,3,GalaxyCluster,,137.2|-9.6
444,137.3,3.9,8,QSO,,137.3|3.9
445,137.9,45.5,5,Sy2,,137.9|45.5
446,139,-62.3,4,Sy1,,139|-62.3
447,139.4,-64.9,2,Galaxy,,139.4|-64.9
448,139.6,16.3,4,Sy1.5,,139.6|16.3
449,139.8,55.5,5,Sy2,,139.8|55.5
450,140,37.2,5,Sy1.9,,140|37.2
451,140.1,-55.2,14,LMXB,,140.1|-55.2
452,140.2,-8.1,5,Sy2,,140.2|-8.1
453,140.9,-21.6,8,RadioGalaxy,,140.9|-21.6
454,140.9,22.9,4,Sy1.2,,140.9|22.9
455,141,-31.7,5,Sy1.9,,141|-31.7
456,141.6,-84.4,5,Sy2,,141.6|-84.4
457,141.3,52.3,4,Sy1,,141.3|52.3
