,BAT ID,RA,DEC,z[OIII]_x,log_Lbol,Lbol Ref,log_Mbh,log_Mbh err (lower),log_Mbh err (upper),Mbh Ref,log_Eratio,Eratio Ref
622,1185,346.7621,4.5492,0.040559057,44.52,BASS,8.07,0.3,0.3,TN12,-1.73,TN12
623,1186,346.9536,22.7103,0.034658591,44.49,Swift,,,,None,,None
624,1187,346.9886,40.2775,0.072753317,44.72,BASS,8.52,0.3,0.3,TN12,-1.98,TN12
625,1188,349.5979,-42.3706,0.004877619,43.53,Swift,7.74,0.29,0.08,G05;W06,,None
626,1189,349.7359,0.244,0.029274314,45.29,BASS,8.61,0.3,0.3,TN12,-1.5,TN12
627,1192,350.6019,-6.7605,0.032986494,44.38,Swift,8.27,0.42,0.42,stellar,,None
628,1194,351.3508,-38.447,0.035535574,44.54,Swift,,,,None,,None
629,1195,351.476,21.887,0.120189964,45.35,BASS,8.43,0.3,0.3,TN12,-1.26,TN12
630,1196,351.8415,15.4104,0.045821501,44.62,Swift,7.92,0.1,0.1,GH05,-1.41,Swift
631,1198,352.2663678,3.5333331,0.016719377,43.88,Swift,,,,None,,None
632,1199,352.6571333,71.3795611,0.036934986,44.45,Swift,,,,None,,None
633,1200,353.4802,-23.728,0.047692952,44.82,Swift,6.88,0.1,0.1,GH05,-0.17,Swift
634,1202,355.4811,30.5818,0.017417438,44.03,Swift,8.69,0.31,0.31,stellar,,None
635,1203,355.9982,5.64,0.05563478,44.84,Swift,,,,None,,None
636,1204,356.1829,-42.7201,0.59732,47.17,Swift,,,,None,,None
637,1205,356.7701,51.705,0.044,44.52,Swift,,,,None,,None
638,1206,357.9839,-1.1537,0.174313381,45.64,BASS,8.71,0.3,0.3,TN12,-1.24,TN12
639,1207,358.0921667,58.7585556,0.163616285,45.85,Swift,,,,None,,None
640,1209,359.783,-30.628,0.165388,46.06,Swift,,,,None,,None
