,BAT ID,RA,DEC,z[OIII]_x,log_Lbol,Lbol Ref,log_Mbh,log_Mbh err (lower),log_Mbh err (upper),Mbh Ref,log_Eratio,Eratio Ref
315,550,173.2479,10.3951,0.540099918,46.15,BASS,8.51,0.3,0.3,TN12,-0.54,TN12
316,552,174.122,21.596,0.029737955,44.19,BASS,7.14,0.3,0.3,TN12,-1.12,TN12
317,551,174.1253,67.6179,0.134232,45.61,Swift,8.95,0.3,0.3,stellar,,None
318,553,174.1752,-60.0519,0.014184928,43.87,Swift,,,,None,,None
319,554,174.6405,25.3981,0.025358469,44.02,Swift,7.82,0.31,0.31,stellar,,None
320,557,174.7129,-23.36,0.027174892,44.35,Swift,7.62,0.59,0.59,stellar,,None
321,558,174.7572,-37.7386,0.009420685,44.16,BASS,7.29,0.3,0.3,TN12,-1.3,TN12
322,556,174.787,59.199,0.061560023,44.88,BASS,7.98,0.3,0.3,TN12,-1.28,TN12
323,555,174.8131,25.5994,0.219220449,45.8,Swift,8.87,0.37,0.37,stellar,,None
324,560,174.927,31.909,0.008973507,43.65,Swift,6.58,0.1,0.1,GH05,-1.05,Swift
325,561,175.3173,21.9394,0.063545711,44.83,BASS,7.76,0.3,0.3,TN12,-1.1,TN12
326,565,176.124,36.886,0.038559749,44.23,BASS,8.15,0.3,0.3,TN12,-2.09,TN12
327,566,176.3168,79.6815,0.006315653,43.13,BASS,5.66,0.3,0.3,TN12,-0.71,TN12
328,568,176.3881,58.9781,0.009937,43.45,Swift,8.61,0.45,0.45,stellar,,None
329,567,176.4186,-18.4543,0.032626178,44.77,BASS,7.31,0.3,0.3,TN12,-0.72,TN12
330,569,176.4734,-69.9005,0.243225038,45.93,BASS,8.54,0.3,0.3,TN12,-0.79,TN12
331,572,176.9795,9.0413,0.06925673,44.82,BASS,8.4,0.3,0.3,TN12,-1.76,TN12
332,575,177.3397,53.3371,0.095523536,44.39,BASS,8.61,0.3,0.3,TN12,-2.39,TN12
333,576,178.0148,-11.3734,0.049998577,44.66,BASS,7.47,0.3,0.3,TN12,-0.98,TN12
334,578,178.3519,49.5191,0.333816558,45.53,BASS,8.41,0.3,0.3,TN12,-1.05,TN12
335,579,179.4839,55.4536,0.003496,42.83,Swift,6.31,0.1,0.1,GH05,-1.6,Swift
336,580,179.7191,42.5703,0.031356414,44.38,Swift,8.6,0.29,0.29,stellar,,None
337,581,179.9208,-19.99,0.45,46.98,Swift,,,,None,,None
338,582,180.2413,6.8064,0.035850591,44.7,Swift,8.31,0.3,0.3,stellar,,None
339,583,180.3098,-3.6781,0.019756732,43.77,BASS,6.83,0.3,0.3,TN12,-1.24,TN12
340,584,180.6985,-53.8355,0.027738274,44.83,Swift,7.98,0.34,0.34,stellar,,None
341,585,180.7901,44.5313,0.002029373,42.81,BASS,5.34,0.3,0.3,TN12,-0.71,TN12
342,586,181.1237,20.3162,0.022721672,44.44,Swift,8.18,0.29,0.29,stellar,,None
343,587,181.1754,27.9033,0.165711015,45.08,BASS,8.49,0.3,0.3,TN12,-1.59,TN12
344,588,181.1806,31.1773,0.025079696,44.18,Swift,6.96,0.1,0.1,GH05,-0.89,Swift
345,589,181.4834,49.999,0.063432231,44.5,BASS,8.42,0.3,0.3,TN12,-2.09,TN12
346,590,181.5963,52.7109,0.001848017,43.05,Swift,8.75,0.33,0.33,stellar,,None
347,591,181.887,33.878,0.078989115,45.25,Swift,8.55,0.3,0.3,stellar,,None
348,592,182.3088,47.0583,0.024472991,44.39,Swift,7.82,0.29,0.29,stellar,,None
349,593,182.3741,43.6853,0.002919506,43.09,Swift,7.3,0.5,0.5,stellar,,None
350,594,182.5168,-46.6076,0.031608368,44.53,Swift,,,,None,,None
351,595,182.6357,39.4057,0.003260305,43.83,BASS,7.12,0.3,0.3,TN12,-1.46,TN12
352,596,182.684,38.336,0.02323183,44.17,BASS,7.39,0.3,0.3,TN12,-1.4,TN12
353,597,182.8095,-39.5574,0.060862418,45.19,Swift,8.57,0.34,0.34,stellar,,None
354,601,183.2659,32.7936,2.504139185,48.51,Swift,,,,None,,None
355,600,183.2888,32.5964,0.024783046,44.12,Swift,7.75,0.3,0.3,stellar,,None
356,605,183.574167,29.528611,0.063193256,45.08,Swift,8.33,0.3,0.3,stellar,,None
357,606,184.238,-26.2093,0.039271186,44.6,Swift,,,,None,,None
358,607,184.2912,7.1916,0.007801918,43.19,BASS,7.68,0.3,0.3,TN12,-2.66,TN12
359,608,184.6105,29.8129,0.012754729,43.85,BASS,6.17,0.3,0.3,TN12,-0.49,TN12
360,609,184.7396,47.304,0.001680837,42.07,Swift,4.5,0.1,0.1,GH05,-0.54,Swift
361,610,185.3414,30.177,0.183648,45.78,Swift,,,,None,,None
362,611,185.4333,75.3107,0.070290848,45.7,BASS,8.61,0.3,0.3,TN12,-1.08,TN12
363,612,185.594,4.2211,0.966665625,46.53,BASS,8.31,0.3,0.3,TN12,0.04,TN12
364,613,185.8506,2.6791,0.024020204,44.03,BASS,7.57,0.3,0.3,TN12,-1.71,TN12
